Time,Time,Res_Albarqueira,Res_Aveleira,Res_Espinheira,PE_Aveleira,PE_Albarqueira,PE_Espinheira,P_Albarqueira,P_Aveleira,Val_Espinheira
2019-10-25 08:46:00,2019-10-25 08:46:00,0.0,0.0,0.0,1289.108110881081,3788.8378390378384,509.02702640999996,0,0,0
2019-10-25 09:26:00,2019-10-25 09:26:00,-0.3952499984999993,-0.07980000299999945,0.08250000000000024,683.9999772,1929.0000915,296.99998856999997,0,0,1
2019-10-25 09:27:00,2019-10-25 09:27:00,0.0,0.0,0.0,1370.7692307692307,3509.0769196153847,564.9230861538462,0,0,0
2019-10-25 09:41:00,2019-10-25 09:41:00,-0.6775714285714272,0.0,0.2357142857142864,671.9999885999999,1742.9999541000002,324.00000570000003,0,0,1
2019-10-25 09:42:00,2019-10-25 09:42:00,0.0,-3.1920000600000265,0.0,1287.0000048857144,3962.571430114286,609.4285706228571,0,0,0
2019-10-25 09:57:00,2019-10-25 09:57:00,-0.632399996000002,0.0,0.21999999999999886,1542.0000456,3485.9999082000004,780.0,0,0,1
2019-10-25 09:58:00,2019-10-25 09:58:00,0.0,0.0,0.0,1377.0000135375,3432.9375028875,727.3125046312499,0,0,0
2019-10-25 10:15:00,2019-10-25 10:15:00,-0.5580000000000005,-0.1877647129411752,0.1941176470588241,1463.9999771999999,4518.000183,636.0000228,0,0,1
2019-10-25 10:16:00,2019-10-25 10:16:00,0.0,0.0,0.0,1298.0769186923078,3875.769195576923,722.3076879230769,0,0,0
2019-10-25 10:30:00,2019-10-25 10:30:00,-0.4517142814285689,0.0,0.2357142857142845,1313.9999771999999,3432.0000456000002,731.9999885999999,0,0,1
2019-10-25 10:31:00,2019-10-25 10:31:00,0.0,0.0,0.0,1168.1000060800002,3275.70001596,707.10000228,0,0,0
2019-10-25 10:42:00,2019-10-25 10:42:00,-0.574909090909093,-0.29018182909090956,0.3000000000000009,1277.9999544,3420.0,786.0000228,0,0,1
2019-10-25 10:43:00,2019-10-25 10:43:00,0.0,0.0,-3.3000000000000096,1234.5000171,4171.5000915,795.0,0,0,0
2019-10-25 10:47:00,2019-10-25 10:47:00,-0.7904999999999962,0.0,0.8250000000000024,1170.0,4794.000091799999,750.0,0,0,1
2019-10-25 10:48:00,2019-10-25 10:48:00,0.0,0.0,0.0,1104.9999873333334,4035.0001018,829.3333339666667,0,0,0
2019-10-25 10:57:00,2019-10-25 10:57:00,-0.702666660000002,0.0,0.36666666666666775,1116.0000228000001,3515.9999082000004,761.9999885999999,0,0,1
2019-10-25 10:58:00,2019-10-25 10:58:00,0.0,0.0,0.0,1189.34999943,3917.100007995,806.2499999999998,0,0,0
2019-10-25 11:18:00,2019-10-25 11:18:00,-0.4743000000000004,-0.1596000059999989,0.16499999999999915,1206.0000228000001,3995.9999082000004,756.0000228,0,0,1
2019-10-25 11:19:00,2019-10-25 11:19:00,0.0,0.0,0.0,1112.357131457143,3538.7142890571427,795.0000020357141,0,0,0
2019-10-25 11:33:00,2019-10-25 11:33:00,-0.6775714242857126,0.0,0.2357142857142864,1097.9999544,4014.0000918,696.0000228,0,0,1
2019-10-25 11:34:00,2019-10-25 11:34:00,0.0,0.0,0.0,1072.875001425,4622.624988525,811.8749964375,0,0,0
2019-10-25 11:42:00,2019-10-25 11:42:00,0.0,0.0,0.0,1082.4025704231267,3466.6702332096347,598.0471091704495,1,0,0
2019-10-25 19:29:00,2019-10-25 19:29:00,0.16927194796573874,-0.08885653387580303,-0.028265524625267692,1329.4252896494252,3781.3563215195395,612.298850901839,0,0,0
2019-10-26 00:03:00,2019-10-26 00:03:00,-0.2192627728467154,-0.1048467186131387,-0.024087591240875887,766.8461572076923,1285.153848184615,438.07692087230765,1,0,0
2019-10-26 00:45:00,2019-10-26 00:45:00,0.30114285571428606,-0.07600000285714298,0.0,572.6013527362841,1875.8310837972972,308.92567586297287,1,1,0
2019-10-26 08:40:00,2019-10-26 08:40:00,0.11316631541052624,0.14784000479999998,-0.013894736842105246,1689.6818031545454,3816.136358440909,482.18181675272723,1,0,0
2019-10-26 09:04:00,2019-10-26 09:04:00,0.0,-0.2660000099999993,0.0,1878.940296447761,4138.164176368657,584.1492534801494,0,0,0
2019-10-26 10:16:00,2019-10-26 10:16:00,-0.2634999991666661,-0.1330000041666668,-0.04583333333333347,1954.2963042185186,4280.814805203704,824.4814819740741,1,0,0
2019-10-26 11:43:00,2019-10-26 11:43:00,0.036344827586206725,-0.14675862551724125,0.03793103448275873,1812.0000456,2412.0000456000002,798.0000114000001,1,0,1
2019-10-26 11:44:00,2019-10-26 11:44:00,0.0,0.0,0.0,1884.4000091199998,2984.7999877800003,728.39999772,1,0,0
2019-10-26 12:00:00,2019-10-26 12:00:00,-0.19762499999999905,-0.19950000375,0.2062500000000006,1997.9999544,2622.0000456000002,768.0000114000001,1,0,1
2019-10-26 12:01:00,2019-10-26 12:01:00,0.0,0.0,0.0,1857.749998575,3583.31246859375,749.06249821875,1,0,0
2019-10-26 12:18:00,2019-10-26 12:18:00,-0.1860000000000007,-0.18776471294117675,0.19411764705882253,1812.0000456,4751.999817,678.0000114000001,1,0,1
2019-10-26 12:19:00,2019-10-26 12:19:00,0.0,0.0,0.0,2000.3077081615388,4994.538503746154,677.5384646076923,1,0,0
